Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
6		2000		242		243		19		19
7		5000		312		313		18		18
7		5000		316		317		18		19
7		5000		316		317		19		19
8		4000		216		217		18		18
8		4000		223		224		18		19
8		4000		223		224		19		19
9		10000		360		361		18		18
9		10000		373		374		18		19
9		10000		373		374		19		19
0		10000		236		237		19		19
0		10000		245		246		19		20
0		10000		245		246		20		20
1		5000		360		361		19		19
1		5000		393		394		19		20
1		5000		393		394		20		20
2		7000		273		274		19		19
2		7000		279		280		19		20
2		7000		279		280		20		20
3		3000		338		339		19		19
3		3000		356		357		19		20
3		3000		356		357		20		20
4		3000		404		405		19		19
4		3000		420		421		19		20
4		3000		420		421		20		20
5		8000		325		326		19		19
5		8000		331		332		19		20
5		8000		331		332		20		20
6		2000		242		243		19		19
6		2000		250		251		19		20
6		2000		250		251		20		20
7		5000		316		317		19		19
7		5000		326		327		19		20
7		5000		326		327		20		20
8		4000		223		224		19		19
8		4000		229		230		19		20
8		4000		229		230		20		20
9		10000		373		374		19		19
9		10000		454		455		19		20
9		10000		454		455		20		20
0		10000		245		246		20		20
0		10000		254		255		20		21
0		10000		254		255		21		21
1		5000		393		394		20		20
1		5000		395		396		20		21
1		5000		395		396		21		21
2		7000		279		280		20		20
2		7000		285		286		20		21
2		7000		285		286		21		21
3		3000		356		357		20		20
3		3000		383		384		20		21
3		3000		383		384		21		21
4		3000		420		421		20		20
4		3000		428		429		20		21
4		3000		428		429		21		21
5		8000		331		332		20		20
5		8000		359		360		20		21
5		8000		359		360		21		21
6		2000		250		251		20		20
6		2000		261		262		20		21
6		2000		261		262		21		21
7		5000		326		327		20		20
7		5000		344		345		20		21
7		5000		344		345		21		21
8		4000		229		230		20		20
8		4000		231		232		20		21
8		4000		231		232		21		21
9		10000		454		455		20		20
9		10000		475		476		20		21
9		10000		475		476		21		21
0		10000		254		255		21		21
0		10000		323		324		21		22
0		10000		323		324		22		22
1		5000		395		396		21		21
1		5000		435		436		21		22
1		5000		435		436		22		22
2		7000		285		286		21		21
2		7000		296		297		21		22
2		7000		296		297		22		22
3		3000		383		384		21		21
3		3000		391		392		21		22
3		3000		391		392		22		22
4		3000		428		429		21		21
4		3000		432		433		21		22
4		3000		432		433		22		22
5		8000		359		360		21		21
5		8000		379		380		21		22
5		8000		379		380		22		22
6		2000		261		262		21		21
6		2000		264		265		21		22
6		2000		264		265		22		22
7		5000		344		345		21		21
7		5000		361		362		21		22
7		5000		361		362		22		22
8		4000		231		232		21		21
8		4000		255		256		21		22
8		4000		255		256		22		22
9		10000		475		476		21		21
9		10000		480		481		21		22
9		10000		480		481		22		22
0		10000		323		324		22		22
0		10000		343		344		22		23
0		10000		343		344		23		23
1		5000		435		436		22		22
1		5000		443		444		22		23
1		5000		443		444		23		23
2		7000		296		297		22		22
2		7000		316		317		22		23
2		7000		316		317		23		23
3		3000		391		392		22		22
3		3000		399		400		22		23
3		3000		399		400		23		23
4		3000		432		433		22		22
4		3000		460		461		22		23
4		3000		460		461		23		23
5		8000		379		380		22		22
5		8000		390		391		22		23
5		8000		390		391		23		23
6		2000		264		265		22		22
6		2000		274		275		22		23
6		2000		274		275		23		23
7		5000		361		362		22		22
7		5000		387		388		22		23
7		5000		387		388		23		23
8		4000		255		256		22		22
8		4000		269		270		22		23
8		4000		269		270		23		23
9		10000		480		481		22		22
9		10000		491		492		22		23
9		10000		491		492		23		23
0		10000		343		344		23		23
0		10000		351		352		23		24
0		10000		351		352		24		24
1		5000		443		444		23		23
1		5000		452		453		23		24
1		5000		452		453		24		24
2		7000		316		317		23		23
2		7000		349		350		23		24
2		7000		349		350		24		24
3		3000		399		400		23		23
